,NR_TURNO,NM_MUNICIPIO,CD_CARGO_PERGUNTA,NM_VOTAVEL,QT_VOTOS
5168,1,SÃO LUÍS DO CURU,11,PROFESSOR SATURNINO CASTRO,148
5245,1,ALCÂNTARAS,11,Nulo,316
5246,1,ALCÂNTARAS,11,JOAQUIM DO QUINCA,5251
5247,1,ALCÂNTARAS,11,Branco,222
5248,1,ALCÂNTARAS,11,ANTONIO MARCOS,1826
5285,1,SOBRAL,11,Nulo,5288
5286,1,SOBRAL,11,OSCAR RODRIGUES,45795
5287,1,SOBRAL,11,Branco,3868
5288,1,SOBRAL,11,IVO GOMES,66519
5462,1,MERUOCA,11,FONTELES,4281
5463,1,MERUOCA,11,Nulo,339
5464,1,MERUOCA,11,Branco,174
5465,1,MERUOCA,11,HERTON,5425
5525,1,GRANJA,11,DR. JOÃO PAULO,11528
5526,1,GRANJA,11,JULIANA ALDIGUERI,18499
5527,1,GRANJA,11,Branco,1398
5528,1,GRANJA,11,Nulo,2205
5581,1,MARTINÓPOLE,11,Nulo,183
5582,1,MARTINÓPOLE,11,JÚNIOR FONTENELE,4136
5583,1,MARTINÓPOLE,11,JAMES BEL,4149
5584,1,MARTINÓPOLE,11,Branco,62
5611,1,URUOCA,11,Branco,91
5612,1,URUOCA,11,KENNEDY AQUINO,5588
5613,1,URUOCA,11,OLIVER,3318
5614,1,URUOCA,11,Nulo,250
5641,1,ABAIARA,11,AFONSO TAVARES,3149
5642,1,ABAIARA,11,Branco,99
5643,1,ABAIARA,11,Nulo,311
5644,1,ABAIARA,11,PEDRO MARCOS,2584
5682,1,MILAGRES,11,PEPE,245
5683,1,MILAGRES,11,FIGUEIREDO,9282
5684,1,MILAGRES,11,Nulo,502
5685,1,MILAGRES,11,Branco,155
5686,1,MILAGRES,11,ABRAÃO,7744
5743,1,CRATO,11,ZÉ AILTON BRASIL,30898
5744,1,CRATO,11,Nulo,5996
5745,1,CRATO,11,Branco,2738
5746,1,CRATO,11,ARTHUR DE ZÉ ADEGA,9559
5747,1,CRATO,11,DOUTOR ALOISIO,17213
5748,1,CRATO,11,PROFESSORA ZULEIDE QUEIROZ,6956
6020,1,JUAZEIRO DO NORTE,11,DEMONTIEUX CINQUENTINHA,3816
6021,1,JUAZEIRO DO NORTE,11,NELINHO,25114
6022,1,JUAZEIRO DO NORTE,11,Branco,3257
6023,1,JUAZEIRO DO NORTE,11,GLÊDSON BEZERRA,50715
6024,1,JUAZEIRO DO NORTE,11,Nulo,7850
6025,1,JUAZEIRO DO NORTE,11,ARNON BEZERRA,48079
6026,1,JUAZEIRO DO NORTE,11,ANA PAULA CRUZ,5100
6424,1,LIMOEIRO DO NORTE,11,DR ZÉ MARIA,18465
6425,1,LIMOEIRO DO NORTE,11,ITALO DIOGENES,389
6426,1,LIMOEIRO DO NORTE,11,Nulo,1685
6427,1,LIMOEIRO DO NORTE,11,ROSÁLIO DANIEL,3539
6428,1,LIMOEIRO DO NORTE,11,RITA PEIXOTO,1197
6429,1,LIMOEIRO DO NORTE,11,CAÊ PESSOA,1826
6430,1,LIMOEIRO DO NORTE,11,MAZÉ MAIA,7327
6431,1,LIMOEIRO DO NORTE,11,PROF RAMERES,752
6432,1,LIMOEIRO DO NORTE,11,ROBERTO HOLANDA,800
6433,1,LIMOEIRO DO NORTE,11,Branco,999
6537,1,QUIXERÉ,11,TOINHO DO BANCO,8257
6538,1,QUIXERÉ,11,Branco,197
6539,1,QUIXERÉ,11,Nulo,703
6540,1,QUIXERÉ,11,GILBERTO SANTIAGO,5989
6580,1,ACARAÚ,11,Nulo,1256
6581,1,ACARAÚ,11,ANA FLÁVIA,18443
6582,1,ACARAÚ,11,AMADEU NETO,17553
6583,1,ACARAÚ,11,Branco,390
6584,1,ACARAÚ,11,SERGIO CELIO SILVA,33
6672,1,CRUZ,11,DEDEL SILVA,303
6673,1,CRUZ,11,ADAUTO MENDES,4701
6674,1,CRUZ,11,JONAS MUNIZ,10964
6675,1,CRUZ,11,Branco,312
6676,1,CRUZ,11,Nulo,788
6739,1,JIJOCA DE JERICOACOARA,11,Nulo,429
6740,1,JIJOCA DE JERICOACOARA,11,LINDBERGH,6841
6741,1,JIJOCA DE JERICOACOARA,11,Branco,152
6742,1,JIJOCA DE JERICOACOARA,11,ROBERTO CANUTO,2980
6743,1,JIJOCA DE JERICOACOARA,11,LEANDRO CESAR,3939
6744,1,JIJOCA DE JERICOACOARA,11,CARLOS ALBERTO,26
6832,1,BARBALHA,11,Nulo,1733
6833,1,BARBALHA,11,ARGEMIRO SAMPAIO,17040
6834,1,BARBALHA,11,Branco,574
6835,1,BARBALHA,11,DR. GUILHERME,19900
7000,1,CAMOCIM,11,Branco,617
7001,1,CAMOCIM,11,BETINHA,18253
7002,1,CAMOCIM,11,Nulo,1374
7003,1,CAMOCIM,11,EUVALDETE FERRO,18067
7130,1,CANINDÉ,11,Nulo,2489
7131,1,CANINDÉ,11,ROZÁRIO XIMENES,22234
7132,1,CANINDÉ,11,BERGUIM CONSTRUTOR,2039
7133,1,CANINDÉ,11,Branco,1314
7134,1,CANINDÉ,11,PROFESSOR LUIZ DAMIÃO,16739
7135,1,CANINDÉ,11,IRINEU DE FREITAS,619
7136,1,CANINDÉ,11,PADRE ADELMO,214
7137,1,CANINDÉ,11,HIGINO,88
7302,1,ITATIRA,11,Nulo,554
7303,1,ITATIRA,11,ICASSI,269
7304,1,ITATIRA,11,ZÉ DIVAL,7745
7305,1,ITATIRA,11,Branco,127
7306,1,ITATIRA,11,AIRTON LOBO VEIM,67
7307,1,ITATIRA,11,AFONSO MAGNO,6120
7365,1,VIÇOSA DO CEARÁ,11,DIVALDO SOARES,15409
7366,1,VIÇOSA DO CEARÁ,11,Nulo,1233
7367,1,VIÇOSA DO CEARÁ,11,DIEGO PASSOS,887
7368,1,VIÇOSA DO CEARÁ,11,Branco,504
7369,1,VIÇOSA DO CEARÁ,11,MAX MAPURUNGA,751
7370,1,VIÇOSA DO CEARÁ,11,ZÉ FIRMINO,17746
7477,1,SÃO GONÇALO DO AMARANTE,11,Nulo,1496
7478,1,SÃO GONÇALO DO AMARANTE,11,Branco,495
7479,1,SÃO GONÇALO DO AMARANTE,11,ELDER GURGEL,14879
7480,1,SÃO GONÇALO DO AMARANTE,11,EDNALDO MARTINS,4722
7481,1,SÃO GONÇALO DO AMARANTE,11,PROFESSOR MARCELÃO,15691
7482,1,SÃO GONÇALO DO AMARANTE,11,DRA LUCIA BOLSONARO,43
7653,1,CAUCAIA,11,RODRIGO SANTAELLA,2224
7654,1,CAUCAIA,11,JOAO ARY,1023
7655,1,CAUCAIA,11,EMILIA PESSOA,32492
7656,1,CAUCAIA,11,NAUMI AMORIM,69262
7657,1,CAUCAIA,11,ELMANO DE FREITAS,13018
7658,1,CAUCAIA,11,SEBASTIÃO CONRADO,3497
7659,1,CAUCAIA,11,Branco,6461
7660,1,CAUCAIA,11,Nulo,13458
7661,1,CAUCAIA,11,VITOR VALIM,47171
7662,1,CAUCAIA,11,PAULO SÉRGIO CORDEIRO,542
8158,1,CAMPOS SALES,11,JOÃO LUIZ,8955
8159,1,CAMPOS SALES,11,Branco,234
8160,1,CAMPOS SALES,11,Nulo,600
8161,1,CAMPOS SALES,11,SOLANO FEITOSA,6212
8198,1,SALITRE,11,MANINHO,2429
8199,1,SALITRE,11,DODO DE NEOCLIDES,8000
8200,1,SALITRE,11,Nulo,609
8201,1,SALITRE,11,Branco,203
8229,1,INDEPENDÊNCIA,11,VALTERLIN,7795
8230,1,INDEPENDÊNCIA,11,Branco,207
8231,1,INDEPENDÊNCIA,11,Nulo,554
8232,1,INDEPENDÊNCIA,11,JULIO BRITO,325
8233,1,INDEPENDÊNCIA,11,VALDI COUTINHO,8040
8234,1,INDEPENDÊNCIA,11,GUILHERME PORTELA TORRES,629
8290,1,IPUEIRAS,11,ROBERTIM DE NOVA FÁTIMA,87
8291,1,IPUEIRAS,11,JÚNIOR DO TITICO,12576
8292,1,IPUEIRAS,11,Nulo,1000
8293,1,IPUEIRAS,11,Branco,239
8294,1,IPUEIRAS,11,NENEM DO CAZUZA,10256
8295,1,IPUEIRAS,11,MANOEL OTÁVIO,82
8365,1,PORANGA,11,CARLOS ANTONIO,3605
8366,1,PORANGA,11,Branco,61
8367,1,PORANGA,11,ERINEUDA BERNARDO,3040
8368,1,PORANGA,11,Nulo,378
8369,1,PORANGA,11,SOCORRO MONTEIRO,981
8407,1,IRAUÇUBA,11,DRA HELOISA,5402
8408,1,IRAUÇUBA,11,Branco,188
8409,1,IRAUÇUBA,11,Nulo,649
8410,1,IRAUÇUBA,11,PATRÍCIA BARRETO,9165
8477,1,ITAPAJÉ,11,Branco,622
8478,1,ITAPAJÉ,11,Nulo,1280
8479,1,ITAPAJÉ,11,SAVIM,1057
8480,1,ITAPAJÉ,11,DIMAS CRUZ,9454
8481,1,ITAPAJÉ,11,STELINHA,2002
8482,1,ITAPAJÉ,11,DRA. GORETE,17865
8483,1,ITAPAJÉ,11,PASTOR DR J MONTEIRO,35
